Metric Name,Possible error value(s),Potential cause(s)
Dmesg,"* Unknown
* Fail
* Metric Value","* [Unknown]OMNIA telemetry service encounters an exception while retrieving information.
* [Unknown] The dmesg command was not found on the cluster node.
* [Fail] The dmesg command returned an error."
Beegfs client Reachable,"* Unknown
* Fail
* Metric Value","* [Unknown]OMNIA telemetry service encounters an exception while retrieving information.
* [Unknown] BeeGFS is not installed or inactive.  
* [Fail] The BeeGFS client service has failed or the node is not present in reachable lists of BeeGFS clients."
gpu_driver_health:gpu,"* Unknown
* Metric Value","* AMD/NVIDIA  accelerators are not present.
* GPU drivers are not installed including Rocm and CUDA.
* OMNIA telemetry service encountered an exception.               "
gpu_health_nvlink:gpu,"* Unknown
* Metric Value","* AMD/NVIDIA  accelerators are not present.
* NVLinks are not present.
* GPU drivers are not installed including Rocm and CUDA.
* OMNIA telemetry service encountered an exception.               "
gpu_health_pcie:gpu,"* Unknown
* Metric Value","* AMD/NVIDIA  accelerators are not present.
* GPU drivers are not installed including Rocm and CUDA.
* OMNIA telemetry service encountered an exception.               "
gpu_health_pmu:gpu,"* Unknown
* Metric Value","* AMD/NVIDIA  accelerators are not present.
* GPU drivers are not installed including Rocm and CUDA.
* OMNIA telemetry service encountered an exception.               "
gpu_health_power:gpu,"* Unknown
* Metric Value","* AMD/NVIDIA  accelerators are not present.
* GPU drivers are not installed including Rocm and CUDA.
* OMNIA telemetry service encountered an exception.               "
gpu_health_thermal,"* Unknown
* Metric Value","* AMD/NVIDIA  accelerators are not present.
* GPU drivers are not installed including Rocm and CUDA.
* OMNIA telemetry service encountered an exception.               "
Kubernetespodsstatus,"* Unknown
* Metric Value","* Kubernetes is not installed.
* OMNIA telemetry service encountered an exception."
Kuberneteschildnode,"* Unknown
* Metric Value","* Kubernetes is not installed.
* OMNIA telemetry service encountered an exception."
kubernetesnodesstatus,"* Unknown
* Metric Value","* Kubernetes is not installed.
* OMNIA telemetry service encountered an exception."
kubernetescomponentsstatus,"* Unknown
* Metric Value","* Kubernetes is not installed.
* OMNIA telemetry service encountered an exception."
Smart,"* Unknown
* Metric Value","* smartctl commands failed.
* OMNIA telemetry service encounters an exception while retrieving information. "
